curriculum_rank,episode_id,stage,stage_position,cluster,difficulty,difficulty_z,coreset_rank,is_cluster_medoid,duration,path_length,net_displacement,tortuosity,log_tortuosity,mean_speed,max_speed,rms_acceleration,rms_jerk,normalized_jerk,log_normalized_jerk,reversal_rate,workspace_span,source,task_name,embodiment,arm_used,missing_frame_ratio
11,yam__fold_clothes__2026-07-09-22-15-28-625000,1,11,0,0.05514705882352941,-1.1000893126054796,233,False,904.0,4.400466695437152,0.07620432689211652,57.74562777343275,4.073216729377157,0.1461949068251545,0.7531655155466525,1.2064504038329518,47.933410351960475,297549.5503084933,12.603339406536902,0.019144144144144143,0.6714608928580116,yam,yam_fold_tshirt,yam_bimanual,left,0.0
12,yam__pack_items__2026-07-06-17-21-20-488000,1,12,0,0.058823529411764705,-1.0961157100361008,206,False,1139.0,3.911852296397255,0.08242868773158295,47.457413238648584,3.8806853346538843,0.10312440148674662,0.5011084442106676,0.8360517349549561,35.44968924934987,495295.85774147906,13.112912574404133,0.023593466424682397,0.6304631298369557,yam,yam_pack_items,yam_bimanual,right,0.0
13,yam__fold_clothes__2026-07-09-22-12-27-388000,1,13,0,0.0625,-1.094864354905407,238,False,901.0,4.63652567052956,0.07746190082042308,59.855562817626144,4.10850323378636,0.15455085568431864,0.6710027606699303,1.3214715769308372,48.80467576177305,284678.8120245829,12.559120361108729,0.016835016835016835,0.6791248985261482,yam,yam_fold_tshirt,yam_bimanual,left,0.0
14,yam__fold_clothes__2026-07-09-22-19-10-824000,1,14,0,0.0661764705882353,-1.092220854751312,270,False,832.0,4.007965051992041,0.05650655733584934,70.92920257326094,4.275682337668236,0.1446918791332867,0.7566034975110243,1.156705568594279,40.54122408127439,215374.731125514,12.280139368487331,0.00853658536585366,0.6691191537509528,yam,yam_fold_tshirt,yam_bimanual,left,0.0
15,yam__fold_clothes__2026-07-09-22-13-32-277000,1,15,0,0.06985294117647059,-1.073929215483187,199,False,1143.0,4.641730792402562,0.11054037617277129,41.99127009616537,3.7609970740625958,0.12193688596504103,0.7045336067371765,1.1206056607013033,39.9449927637615,475320.59856166353,13.071746903525597,0.04805914972273567,0.7381291827395245,yam,yam_fold_tshirt,yam_bimanual,left,0.0
16,yam__fold_clothes__2026-07-08-22-21-21-804000,1,16,0,0.07352941176470588,-1.0580887769992275,242,False,977.0,5.005983609651198,0.08278868673649666,60.46700107207226,4.1185004628746,0.15387244701796715,0.6809829570791974,1.1937609332654873,46.03819206908185,317161.8633443515,12.66717068542085,0.014598540145985401,0.7741983871005805,yam,yam_fold_tshirt,yam_bimanual,left,0.0
17,yam__fold_clothes__2026-07-09-22-25-15-332000,1,17,0,0.07720588235294118,-1.0493201933036849,201,False,782.0,4.057824230587935,0.05093288379874671,79.6700270619231,4.39036709441335,0.15587032895984382,0.8743631533874507,1.3104809827850834,46.2358120293164,201422.0935506975,12.213162917790862,0.016709511568123392,0.6197240552357097,yam,yam_fold_tshirt,yam_bimanual,left,0.0
18,yam__fold_clothes__2026-07-09-22-17-07-011000,1,18,0,0.08088235294117647,-1.0482636164562316,207,False,1005.0,4.73662262154973,0.07621648725144275,62.14695523716972,4.145464632862471,0.14153254845268118,0.6571054780274482,1.1786075408441419,44.22997890975303,350536.461614824,12.767222860244253,0.016966067864271458,0.6668416759552988,yam,yam_fold_tshirt,yam_bimanual,left,0.0
19,yam__pack_items__2026-07-06-18-28-18-172000,1,19,0,0.09191176470588236,-1.033286316434383,190,False,1024.0,3.987585224950345,0.07481635998974802,53.298305684702626,3.994493023593082,0.11693798313637375,0.6554859654122692,0.9137712163882882,39.57062135568538,394059.58001259,12.884259932837903,0.04890219560878244,0.6276837736099006,yam,yam_pack_items,yam_bimanual,right,0.0
20,yam__pack_items__2026-07-06-21-06-51-354000,1,20,0,0.09558823529411764,-1.0258928002480505,205,False,754.0,4.296886337243644,0.059731804079882544,71.93632275859586,4.289586769503092,0.17119069072683837,1.0136967801253864,1.4829768460863866,61.52060108212631,226856.52400479975,12.332077451854406,0.03351206434316354,0.6792353622619473,yam,yam_pack_items,yam_bimanual,right,0.0
