episode_id,UMAP_X,UMAP_Y,UMAP_Z,cluster,cluster_label,n_frames,source,task_name,embodiment,arm_used,missing_frame_ratio,task_description,difficulty,difficulty_z,stage,curriculum_rank,coreset_rank,is_cluster_medoid
aria__2025-09-23-20-19-39-000000,-0.014088493771851063,6.10523796081543,4.443802356719971,3,Group 3,2649,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9816176470588235,1.5244152976383258,10,269,76,False
aria__2025-09-23-20-30-13-000000,-0.6479364037513733,5.795143127441406,4.3769330978393555,3,Group 3,2368,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9448529411764706,1.2365554268115058,10,260,51,False
aria__2025-09-23-20-34-49-000000,-0.7690743207931519,6.533951282501221,3.6389782428741455,3,Group 3,3036,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9227941176470589,1.1245923248537812,10,254,10,False
aria__2025-09-23-21-10-33-000000,0.6337969899177551,5.849208831787109,4.01350736618042,3,Group 3,2340,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7352941176470589,0.6226570394709605,10,213,164,False
aria__2025-09-23-21-14-51-000000,-0.31082403659820557,5.971142768859863,4.425462245941162,3,Group 3,1946,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7573529411764706,0.6979103833261452,10,217,114,False
aria__2025-09-23-21-34-16-000000,0.4271409511566162,6.002434730529785,3.4664528369903564,3,Group 3,2966,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8235294117647058,0.8649559966950693,10,232,74,False
aria__2025-09-23-21-38-55-000000,-0.1327791064977646,5.971676349639893,4.537491321563721,3,Group 3,2981,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7647058823529411,0.7147948310353612,10,219,143,False
aria__2025-09-23-21-58-00-000000,0.1262332946062088,5.942910671234131,4.438504695892334,3,Group 3,2272,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7757352941176471,0.7325935614838337,10,222,20,False
aria__2025-09-23-22-15-03-000000,-0.7568009495735168,6.387059688568115,3.7541773319244385,3,Group 3,2312,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6764705882352942,0.5479507541267955,10,203,68,False
aria__2025-09-23-22-43-03-000000,1.0154693126678467,5.675101280212402,3.6435346603393555,3,Group 3,2519,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8272058823529411,0.8659938064144569,10,233,12,False
aria__2025-09-23-22-47-12-000000,0.5201563239097595,5.904648780822754,4.196313381195068,3,Group 3,2371,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7279411764705882,0.6122935862660072,10,211,119,False
aria__2025-09-24-03-12-23-000000,0.6116901636123657,5.492557525634766,3.869662046432495,3,Group 3,1920,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7242647058823529,0.602262616688953,10,210,162,False
aria__2025-09-24-03-15-53-000000,1.1238245964050293,5.589389324188232,3.01066255569458,3,Group 3,2308,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6102941176470589,0.40881848713976277,10,197,173,False
aria__2025-09-24-03-19-17-000000,0.8305728435516357,5.391848564147949,3.7336599826812744,3,Group 3,1890,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6875,0.5574700533107899,10,205,135,False
aria__2025-09-24-03-30-47-000000,1.2500039339065552,5.403666019439697,3.2520124912261963,3,Group 3,1690,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6213235294117647,0.44164757903544233,10,198,107,False
aria__2025-09-24-03-34-16-000000,0.97597336769104,5.249008655548096,3.5410776138305664,3,Group 3,2288,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.5919117647058824,0.38280155108716973,10,192,41,False
