scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,61,Random order (same clips),3.0,3.0,-0.1,0.4,0.45367647058823535,0.6691176470588236,0.48125,0.7,0.7,0.7,0.0,0.7,0.8911400064805937,0.9557850412998798,,,,,0.3,0.3,1.8,1.5,0.0,1.8928117397124056,1.0
garments,131,61,Random subset (same size),3.0,3.0,-0.3,0.4,0.2172794117647059,0.39742647058823527,0.31102941176470583,0.4,0.35,0.35,0.2,0.35,0.8830546570403939,0.9118651358601687,,,,,0.24000000000000005,0.24000000000000005,2.1,1.2,0.0,1.875526802144638,1.0
garments,131,61,Difficulty-sorted (same clips),3.0,3.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.34375,1.0,0.5,0.5,0.0,0.5,0.8399094688285782,0.906981954664931,,,,,0.4,0.4,3.0,2.0,0.0,1.8928117397124051,1.0
garments,131,61,Coreset prefix (same size),3.0,3.0,0.5,0.5,0.8051470588235294,0.8051470588235294,0.4742647058823529,1.0,1.0,1.0,0.5,1.0,0.9870375452241518,1.0,,,,,0.6,0.6,3.0,3.0,0.0,2.200617623386822,1.0
garments,131,126,Curriculum path,6.0,5.0,0.9999999999999999,1.0,0.0625,0.0625,0.03400735294117647,0.0,0.5,0.25,0.25,0.25,0.5768613122892099,0.9044303929988131,0.550782483869826,0.8,0.8,0.6,0.4,0.6,6.0,2.0,0.2,1.65702438601546,0.8333333333333334
garments,131,126,Random order (same clips),5.0,5.0,0.1,0.525,0.10073529411764706,0.12169117647058822,0.07113970588235294,0.0,0.625,0.425,0.45,0.45,0.7071771589869319,0.9839551114501324,,,,,0.32,0.42000000000000004,3.0,1.6,0.175,1.65702438601546,1.0
garments,131,126,Random subset (same size),5.0,5.0,-0.17999999999999997,0.4,0.6650735294117648,0.7121323529411765,0.4045955882352942,1.1,0.65,0.575,0.5,0.625,0.8506332840782083,0.9692036964295625,,,,,0.36,0.4,3.1,1.8,0.075,1.8500430356746473,1.0
garments,131,126,Difficulty-sorted (same clips),5.0,5.0,0.9999999999999999,1.0,0.0625,0.0625,0.03400735294117647,0.0,0.5,0.25,0.25,0.25,0.5768613122892099,0.9044303929988131,,,,,0.4,0.6,5.0,2.0,0.5,1.65702438601546,1.0
garments,131,126,Coreset prefix (same size),5.0,5.0,0.09999999999999999,0.5,0.8676470588235294,0.8860294117647058,0.6755514705882353,2.0,1.0,1.0,0.25,1.0,0.9684036469613908,1.0,,,,,0.8,0.8,5.0,4.0,0.0,2.091316744144682,1.0
garments,131,91,Curriculum path,9.0,8.0,1.0,1.0,0.08823529411764708,0.08823529411764708,0.05357142857142857,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.45424369534958503,0.9044303929988131,0.870300505105952,0.875,0.5,0.375,0.4,0.6,9.0,2.0,0.5,1.3980542030781393,0.8888888888888888
